x,y,z,xt,yt,zt
0.757234, -0.561435, -0.803539,0.022577, -0.018591, 0.072819
1.567736, -0.581854, -1.044809,0.013773, -0.004291, 0.016284
0.538375, -0.384693, -0.785570,0.007184, 0.006193, -0.023435
0.437601, -0.388854, -0.863401,-0.012665, 0.016755, -0.096194
0.988608, -0.279216, -0.402219,-0.018292, 0.009870, -0.097200
0.662896, -0.222883, -0.806606,-0.021534, -0.005845, -0.094668
0.386605, -0.274372, -0.764815,-0.020578, -0.018425, -0.091444
0.744171, -0.190052, -0.554977, , , 
0.853494, -0.541443, -0.399093, , , 
0.293472, -0.010346, -1.054327, , , 
0.121753, 0.051686, -0.551495, , , 
0.909135, -0.229854, -0.445198, , , 
0.327871, 0.069872, -0.571343, , , 
0.413214, -0.252386, -0.756405, , , 
0.280764, -0.114172, -1.113252, , , 
0.817333, -0.408643, -0.418618, , , 
0.530764, 0.043097, -0.310304, , , 
1.043276, -0.573458, -1.240064, , , 
1.127211, -0.928317, -1.003956, , , 
0.891252, -0.338314, -0.312864, , , 
0.827845, -0.285330, -0.410588, , , 
0.996761, -0.202548, -0.429222, , , 
1.147685, -0.367091, -0.369886, , , 
0.693846, -0.408976, -0.332344, , , 
0.840612, -0.419577, -0.911192, , , 
0.905004, -0.345175, -0.313637, , , 
0.740399, -0.233893, -1.153865, , , 
0.797209, -0.271019, -0.405880, , , 
0.833661, -0.201564, -0.782851, , , 
0.826096, -0.097665, -0.623050, , , 
1.096238, -0.522201, -0.916782, , , 
0.430301, -0.165833, -0.956484, , , 
0.510565, -0.388183, -0.770292, , , 
0.223549, 0.175870, -0.693429, , , 
0.898940, -0.239194, -0.555154, , , 
0.870457, -0.305133, -0.417622, , , 
0.835507, -0.410853, -0.904062, , , 
0.387400, 0.189563, -0.759067, , , 
0.340472, -0.364231, -0.936267, , , 
1.382900, -0.967643, -0.744562, , , 
0.630759, -0.438010, -0.703033, , , 
0.588829, 0.063248, -0.312009, , , 
0.151713, 0.007488, -0.706193, , , 
0.300606, 0.148415, -0.904841, , , 
1.509746, -1.066811, -0.785741, , , 
0.713402, -0.404299, -0.292768, , , 
0.569273, -0.492682, -0.895721, , , 
0.120366, 0.077974, -0.297086, , , 
0.331567, 0.116635, -0.666255, , , 
0.607038, -0.270197, -0.219742, , , 
0.594574, -0.181640, -0.187632, , , 
0.428404, 0.062171, -0.431426, , , 
0.725206, -0.223963, -0.179037, , , 
0.591943, 0.005071, -0.231217, , , 
0.122636, 0.079143, -0.298825, , , 
0.859559, -0.353494, -0.339221, , , 
0.697170, -0.400587, -0.309777, , , 
1.041868, -0.144847, -0.240082, , , 
0.873277, -0.122057, -0.304723, , , 
0.172212, -0.181923, -0.794401, , , 
0.594883, 0.030484, -0.485119, , , 
0.690543, -0.180307, -0.178075, , , 
0.753471, -0.256676, -0.161710, , , 
0.826892, -0.097432, -0.807948, , , 
1.089299, -0.918391, -0.913209, , , 
0.372035, 0.244364, -1.095659, , , 
0.187615, -0.202731, -0.839883, , , 
0.276008, -0.016970, -1.063776, , , 
0.124477, 0.087270, -0.329159, , , 
2.050811, -0.256110, -0.330431, , , 
0.992722, -0.396477, -0.306758, , , 
1.299928, -0.934020, -1.034163, , , 
0.832828, -0.160949, -0.190168, , , 
1.372931, -1.011006, -0.781691, , , 
0.984072, -0.397715, -0.848730, , , 
0.195308, 0.039087, -0.873624, , , 
0.155214, -0.092929, -0.700627, , , 
0.938711, -0.190983, -0.221310, , , 
0.879209, -0.333750, -0.308970, , , 
1.012699, -0.204363, -0.081193, , , 
0.123277, 0.079395, -0.299225, , , 
1.252926, -0.790286, -0.643458, , , 
0.285870, -0.136237, -0.710483, , , 
0.183453, -0.150097, -0.858977, , , 
0.791989, -0.156134, -0.697005, , , 
0.916350, -0.179944, -0.751031, , , 
1.194190, -0.890213, -0.796997, , , 
1.068426, -0.390270, -0.934341, , , 
0.291530, 0.039990, -0.915366, , , 
0.590587, -0.345277, -0.769698, , , 
0.991142, -0.151441, -0.305760, , , 
1.185304, -0.175843, -0.759611, , , 
0.956089, -0.196045, -0.221355, , , 
0.945246, -0.290252, -0.653290, , , 
0.838904, -0.232678, -0.442780, , , 
0.591949, 0.038217, -1.152995, , , 
0.645714, 0.034803, -1.248678, , , 
0.899419, -0.110308, -0.859541, , , 
0.602678, -0.430127, -0.721436, , , 
0.596510, -0.007287, -1.822301, , , 
1.148534, -0.532802, -0.663327, , , 
0.740006, -0.146336, -0.769541, , , 
0.660306, 0.027991, -1.279373, , , 
0.589040, 0.047108, -0.278032, , , 
0.601335, 0.058768, -0.406742, , , 
0.248902, -0.087524, -0.983542, , , 
0.176345, -0.012351, -0.639321, , , 
0.718461, -0.192656, -0.172721, , , 
0.582350, 0.102453, -0.428215, , , 
0.811313, -0.361286, -0.505737, , , 
0.420076, -0.082357, -0.715099, , , 
0.583228, 0.013203, -0.302939, , , 
1.359378, -0.982482, -0.786798, , , 
1.296453, -0.624379, -1.057158, , , 
0.518535, -0.128487, -0.846321, , , 
0.505822, 0.059514, -0.554191, , , 
0.794872, -0.163267, -0.704635, , , 
1.317621, -0.717893, -0.963584, , , 
1.089270, -0.219436, -0.795253, , , 
1.344497, -0.358454, -0.869194, , , 
1.195964, -0.884269, -0.908815, , , 
1.310726, -0.127853, -0.587731, , , 
1.199355, -0.907142, -0.746551, , , 
0.399021, 0.044667, -0.897648, , , 
0.434466, -0.109915, -1.019556, , , 
0.594080, -0.138980, -0.193767, , , 
0.499144, -0.395495, -0.885276, , , 
1.307706, -0.966709, -0.792543, , , 
1.300793, -0.848583, -0.889310, , , 
0.691978, -0.062897, -0.191677, , , 
0.509585, -0.326314, -0.683226, , , 
0.641849, -0.332340, -0.774194, , , 
0.726707, -0.398386, -0.429695, , , 
0.589633, 0.059997, -0.420875, , , 
0.416140, -0.234039, -0.698716, , , 
1.247975, -0.887432, -0.997177, , , 
0.266487, -0.426717, -1.313071, , , 
0.851743, -0.161402, -0.427326, , , 
0.585286, -0.334624, -0.761339, , , 
0.312548, -0.107271, -0.875703, , , 
0.588844, -0.342880, -0.767633, , , 
0.462990, 0.239009, -0.957133, , , 
0.571083, 0.018629, -0.567365, , , 
0.513231, -0.456262, -0.866742, , , 
0.918364, -0.425710, -0.543268, , , 
